periodo,cantidad,monto_neto,categoria
2023-01-02,1.0,14277.31,Aislación
2023-01-09,14.0,199882.35,Aislación
2023-01-16,28.0,399764.70999999996,Aislación
2023-01-23,17.0,242714.28999999998,Aislación
2023-01-30,9.0,128495.79999999999,Aislación
2023-02-06,2.0,28554.62,Aislación
2023-02-13,1.0,14277.31,Aislación
2023-02-20,15.0,214159.66,Aislación
2023-02-27,8.0,114218.48000000001,Aislación
2023-03-06,0.0,0.0,Aislación
2023-03-13,3.0,42831.93,Aislación
2023-03-20,5.0,71386.55,Aislación
2023-03-27,4.0,57109.24,Aislación
2023-04-03,3.0,42831.93,Aislación
2023-04-10,11.0,157050.41999999998,Aislación
2023-04-17,8.0,114218.48999999999,Aislación
2023-04-24,0.0,0.0,Aislación
2023-05-01,9.0,128495.79999999999,Aislación
2023-05-08,3.0,42831.93,Aislación
2023-05-15,2.0,28554.62,Aislación
2023-05-22,0.0,0.0,Aislación
2023-05-29,0.0,0.0,Aislación
2023-06-05,8.0,114218.49,Aislación
2023-06-12,8.0,114218.49,Aislación
2023-06-19,1.0,14277.31,Aislación
2023-06-26,0.0,0.0,Aislación
2023-07-03,6.0,85663.86,Aislación
2023-07-10,4.0,57109.24,Aislación
2023-07-17,2.0,28554.62,Aislación
2023-07-24,6.0,85663.87,Aislación
2023-07-31,1.0,14277.31,Aislación
2023-08-07,0.0,0.0,Aislación
2023-08-14,0.0,0.0,Aislación
2023-08-21,0.0,0.0,Aislación
2023-08-28,0.0,0.0,Aislación
2023-09-04,0.0,0.0,Aislación
2023-09-11,0.0,0.0,Aislación
2023-09-18,1.0,14277.31,Aislación
2023-09-25,0.0,0.0,Aislación
2023-10-02,0.0,0.0,Aislación
2023-10-09,1.0,14277.31,Aislación
2023-10-16,0.0,0.0,Aislación
2023-10-23,0.0,0.0,Aislación
2023-10-30,0.0,0.0,Aislación
2023-11-06,0.0,0.0,Aislación
2023-11-13,0.0,0.0,Aislación
2023-11-20,0.0,0.0,Aislación
2023-11-27,0.0,0.0,Aislación
2023-12-04,0.0,0.0,Aislación
2023-12-11,0.0,0.0,Aislación
2023-12-18,0.0,0.0,Aislación
2023-12-25,0.0,0.0,Aislación
2024-01-01,10.0,142773.11,Aislación
2024-01-08,0.0,0.0,Aislación
2024-01-15,0.0,0.0,Aislación
2024-01-22,0.0,0.0,Aislación
2024-01-29,3.0,42831.93,Aislación
2024-02-05,0.0,0.0,Aislación
2024-02-12,0.0,0.0,Aislación
2024-02-19,0.0,0.0,Aislación
2024-02-26,1.0,14277.31,Aislación
2024-03-04,0.0,0.0,Aislación
2024-03-11,2.0,28554.62,Aislación
2024-03-18,8.0,114218.48999999999,Aislación
2024-03-25,20.0,285546.22,Aislación
2024-04-01,0.0,0.0,Aislación
2024-04-08,0.0,0.0,Aislación
2024-04-15,3.0,42831.93,Aislación
2024-04-22,0.0,0.0,Aislación
2024-04-29,7.0,99941.18,Aislación
2024-05-06,0.0,0.0,Aislación
2024-05-13,0.0,0.0,Aislación
2024-05-20,0.0,0.0,Aislación
2024-05-27,3.0,42831.93,Aislación
2024-06-03,1.0,14277.31,Aislación
2024-06-10,0.0,0.0,Aislación
2024-06-17,0.0,0.0,Aislación
2024-06-24,0.0,0.0,Aislación
2024-07-01,1.0,14277.31,Aislación
2024-07-08,2.0,28554.62,Aislación
2024-07-15,0.0,0.0,Aislación
2024-07-22,2.0,28554.62,Aislación
2024-07-29,2.0,28554.62,Aislación
2024-08-05,0.0,0.0,Aislación
2024-08-12,2.0,28554.62,Aislación
2024-08-19,0.0,0.0,Aislación
2024-08-26,0.0,0.0,Aislación
2024-09-02,10.0,142773.11,Aislación
2024-09-09,1.0,14277.31,Aislación
2024-09-16,0.0,0.0,Aislación
2024-09-23,0.0,0.0,Aislación
2024-09-30,0.0,0.0,Aislación
2024-10-07,5.0,71386.55,Aislación
2024-10-14,0.0,0.0,Aislación
2024-10-21,0.0,0.0,Aislación
2024-10-28,2.0,28554.62,Aislación
2024-11-04,0.0,0.0,Aislación
2024-11-11,3.0,42831.93,Aislación
2024-11-18,1.0,14277.31,Aislación
2024-11-25,1.0,14277.31,Aislación
2024-12-02,5.0,71386.55,Aislación
2024-12-09,0.0,0.0,Aislación
2024-12-16,4.0,57109.24,Aislación
2024-12-23,0.0,0.0,Aislación
2024-12-30,2.0,28554.62,Aislación
2025-01-06,3.0,42831.93,Aislación
2025-01-13,0.0,0.0,Aislación
2025-01-20,6.0,85663.86,Aislación
2025-01-27,1.0,14277.31,Aislación
2025-02-03,13.0,185605.03999999998,Aislación
2025-02-10,20.0,285546.21,Aislación
2025-02-17,4.0,57109.24,Aislación
2025-02-24,0.0,0.0,Aislación
